"","pid.chr","annotation","first.i","last.i","min","max"
"1","20181.1","1breakpoint",42644,42668,72750576,72782310
"2","20181.1","1breakpoint",42683,42703,72799940,72817217
"3","20181.1","0breakpoints",43107,63167,73445850,105349929
"4","20181.1","1breakpoint",63526,63533,106011730,106020545
"5","20181.1","1breakpoint",63533,63550,106020897,106027949
"6","20181.1","1breakpoint",76019,76037,152550265,152559433
"7","20181.1","1breakpoint",76056,76064,152582352,152589404
"8","20181.1","1breakpoint",76238,76258,152759003,152764292
"9","20181.1","1breakpoint",76265,76277,152767818,152775927
"10","20181.1","0breakpoints",82532,82597,162831986,162877471
"11","20181.1","0breakpoints",82840,82911,163142623,163239587
