"","pid.chr","annotation","first.i","last.i","min","max"
"1","20183.1","0breakpoints",2972,3146,6431365,6801591
"2","20183.1","0breakpoints",3787,3922,7748313,7954582
"3","20183.1","1breakpoint",15581,15601,29346625,29417145
"4","20183.1","1breakpoint",15814,15870,29794423,29970722
"5","20183.1","0breakpoints",63839,65830,106513099,109504106
"6","20183.1","1breakpoint",66157,66172,110222087,110233018
"7","20183.1","1breakpoint",66178,66189,110233723,110242185
"8","20183.1","0breakpoints",74390,75710,147888702,152042879
"9","20183.1","1breakpoint",76013,76040,152547092,152561901
"10","20183.1","1breakpoint",76053,76083,152579178,152596808
"11","20183.1","1breakpoint",87549,87560,169197414,169234084
"12","20183.1","1breakpoint",87561,87591,169235142,169279922
"13","20183.1","0breakpoints",88389,90698,170321258,173976933
