"","pid.chr","annotation","first.i","last.i","min","max"
"1","20106.8","0breakpoints",393,746,644002,1156276
"2","20106.8","1breakpoint",22685,22710,24968506,24977442
"3","20106.8","1breakpoint",22721,22748,24981613,25001570
"4","20106.8","0breakpoints",23095,74642,25467340,112017265
"5","20106.8","1breakpoint",74799,74811,112287382,112295425
"6","20106.8","1breakpoint",74811,74816,112296318,112303765
"7","20106.8","1breakpoint",76674,76689,115630735,115635798
"8","20106.8","1breakpoint",76695,76714,115640267,115655160
"9","20106.8","0breakpoints",77090,87528,116213033,130947011
"10","20106.8","0breakpoints",95088,97193,140158187,143275741
