"","pid.chr","annotation","first.i","last.i","min","max"
"1","20104.4","1breakpoint",6007,6069,10182246,10226106
"2","20104.4","1breakpoint",6070,6113,10228648,10248036
"3","20104.4","0breakpoints",6620,14037,10832076,20772098
"4","20104.4","1breakpoint",43390,43440,69168201,69264821
"5","20104.4","1breakpoint",43534,43580,69535292,69651617
"6","20104.4","0breakpoints",43695,67100,69835029,107683575
"7","20104.4","1breakpoint",67299,67330,108035347,108069037
"8","20104.4","1breakpoint",67334,67358,108071897,108083339
"9","20104.4","0breakpoints",67759,71595,108703065,114820002
"10","20104.4","1breakpoint",71834,71853,115170896,115174710
"11","20104.4","1breakpoint",71871,71898,115180113,115196640
"12","20104.4","0breakpoints",72148,86526,115584619,139542621
