"","pid.chr","annotation","first.i","last.i","min","max"
"1","20178.1","1breakpoint",42648,42664,72759038,72777726
"2","20178.1","1breakpoint",42678,42712,72796061,72827442
"3","20178.1","1breakpoint",63526,63532,106011377,106020192
"4","20178.1","1breakpoint",63536,63549,106021602,106026186
"5","20178.1","0breakpoints",64183,65715,107011600,109337939
"6","20178.1","1breakpoint",66160,66183,110225613,110235486
"7","20178.1","1breakpoint",66185,66190,110237954,110245711
"8","20178.1","1breakpoint",68137,68142,112684623,112695201
"9","20178.1","1breakpoint",68146,68168,112696258,112704015
"10","20178.1","1breakpoint",76013,76040,152546739,152562254
"11","20178.1","1breakpoint",76052,76095,152577063,152603507
"12","20178.1","1breakpoint",76232,76259,152755124,152765349
"13","20178.1","1breakpoint",76265,76286,152767818,152781569
"14","20178.1","0breakpoints",118736,141308,216349539,249084453
