"","pid.chr","annotation","first.i","last.i","min","max"
"1","20172.20","1breakpoint",775,818,34327900,36092614
"2","20172.20","1breakpoint",834,866,36722870,38025397
"3","20172.20","1breakpoint",876,888,38403550,38907754
"4","20172.20","1breakpoint",890,906,38991788,39622043
"5","20172.20","1breakpoint",925,962,40378350,41848945
"6","20172.20","1breakpoint",983,1015,42689285,43991813
"7","20172.20","1breakpoint",1023,1046,44285932,45210306
"8","20172.20","0breakpoints",1061,1089,45798544,46933004
"9","20172.20","1breakpoint",1115,1134,47983429,48739735
"10","20172.20","1breakpoint",1136,1151,48823769,49412007
"11","20172.20","0breakpoints",1152,1234,49454024,52731351
"12","20172.20","1breakpoint",1278,1404,54496066,59538107
