"","pid.chr","annotation","first.i","last.i","min","max"
"1","20129.1","1breakpoint",199,210,1497831,1643806
"2","20129.1","1breakpoint",217,264,1650506,1737597
"3","20129.1","0breakpoints",385,7625,2160173,15121205
"4","20129.1","1breakpoint",8342,8348,16149988,16153867
"5","20129.1","1breakpoint",8348,8354,16153867,16162681
"6","20129.1","0breakpoints",8748,28786,17115210,53173466
"7","20129.1","0breakpoints",28919,29141,53458952,53722694
"8","20129.1","1breakpoint",42639,42671,72744229,72785131
"9","20129.1","1breakpoint",42682,42715,72798177,72833084
"10","20129.1","0breakpoints",43107,63167,73445850,105349929
"11","20129.1","1breakpoint",63527,63528,106015256,106017724
"12","20129.1","1breakpoint",63536,63545,106021602,106023718
"13","20129.1","1breakpoint",76012,76040,152542508,152565427
"14","20129.1","1breakpoint",76052,76082,152576710,152596456
"15","20129.1","1breakpoint",76231,76259,152752303,152765702
"16","20129.1","1breakpoint",76275,76276,152768875,152774164
"17","20129.1","0breakpoints",88244,103672,170155090,193750816
