"","V1","size","expr","time"
"1","labels",5619,"fpop",2391900
"2","labels",5619,"opart",76243000
"3","labels",5619,"fpop",2402900
"4","labels",5619,"labelled_opart",37951500
"5","labels",5619,"fpop",2268200
"6","labels",5619,"opart",76435100
"7","labels",5619,"labelled_opart",38450500
"8","labels",5619,"opart",75368000
"9","labels",5619,"labelled_opart",38093500
"10","labels",5619,"opart",75869500
"11","labels",5619,"opart",75486700
"12","labels",5619,"labelled_opart",16049400
"13","labels",5619,"fpop",2151200
"14","labels",5619,"opart",75330800
"15","labels",5619,"fpop",2128600
"16","labels",5619,"fpop",2030200
"17","labels",5619,"labelled_opart",16070200
"18","labels",5619,"labelled_opart",15868100
"19","labels",3256,"opart",28816200
"20","labels",3256,"fpop",1292100
"21","labels",3256,"labelled_opart",6831000
"22","labels",3256,"opart",28589700
"23","labels",3256,"fpop",1283800
"24","labels",3256,"labelled_opart",6820300
"25","labels",3256,"fpop",1421400
"26","labels",3256,"labelled_opart",6801500
"27","labels",3256,"opart",28702800
"28","labels",5937,"fpop",2191500
"29","labels",5937,"labelled_opart",40293300
"30","labels",5937,"fpop",2136100
"31","labels",5937,"labelled_opart",60351400
"32","labels",5937,"opart",83093500
"33","labels",5937,"opart",79889000
"34","labels",5937,"opart",79891200
"35","labels",5937,"fpop",2123100
"36","labels",5937,"labelled_opart",41746000
"37","labels",474,"opart",637700
"38","labels",474,"fpop",234200
"39","labels",474,"labelled_opart",359100
"40","labels",474,"fpop",192000
"41","labels",474,"labelled_opart",278200
"42","labels",474,"opart",559500
"43","labels",474,"fpop",190800
"44","labels",474,"opart",557500
"45","labels",474,"labelled_opart",268200
"46","labels",496,"opart",693000
"47","labels",496,"fpop",208700
"48","labels",496,"labelled_opart",441700
"49","labels",496,"fpop",174800
"50","labels",496,"opart",660900
"51","labels",496,"labelled_opart",322700
"52","labels",496,"fpop",175000
"53","labels",496,"labelled_opart",316500
"54","labels",496,"opart",660600
"55","labels",409,"opart",474100
"56","labels",409,"labelled_opart",521500
"57","labels",409,"fpop",184100
"58","labels",409,"labelled_opart",554000
"59","labels",409,"fpop",155000
"60","labels",409,"labelled_opart",541900
"61","labels",409,"opart",423400
"62","labels",409,"opart",415700
"63","labels",409,"fpop",155400
"64","labels",506,"opart",705700
"65","labels",506,"labelled_opart",511500
"66","labels",506,"fpop",203100
"67","labels",506,"opart",663300
"68","labels",506,"fpop",173600
"69","labels",506,"fpop",167300
"70","labels",506,"opart",658100
"71","labels",506,"labelled_opart",429500
"72","labels",506,"labelled_opart",412200
"73","labels",495,"labelled_opart",524300
"74","labels",495,"opart",616000
"75","labels",495,"labelled_opart",414000
"76","labels",495,"opart",608200
"77","labels",495,"fpop",240000
"78","labels",495,"fpop",200500
"79","labels",495,"labelled_opart",416100
"80","labels",495,"fpop",202200
"81","labels",495,"opart",608800
"82","labels",535,"labelled_opart",408900
"83","labels",535,"fpop",209600
"84","labels",535,"opart",699600
"85","labels",535,"fpop",179500
"86","labels",535,"opart",692100
"87","labels",535,"opart",688300
"88","labels",535,"fpop",178100
"89","labels",535,"labelled_opart",306500
"90","labels",535,"labelled_opart",290300
"91","labels",466,"fpop",236600
"92","labels",466,"labelled_opart",490300
"93","labels",466,"opart",566900
"94","labels",466,"fpop",178700
"95","labels",466,"fpop",161900
"96","labels",466,"opart",536500
"97","labels",466,"labelled_opart",373500
"98","labels",466,"opart",579300
"99","labels",466,"labelled_opart",429400
"100","labels",652,"opart",1047100
"101","labels",652,"labelled_opart",535800
"102","labels",652,"labelled_opart",448600
"103","labels",652,"fpop",262100
"104","labels",652,"opart",1014400
"105","labels",652,"opart",1004700
"106","labels",652,"fpop",238000
"107","labels",652,"fpop",227500
"108","labels",652,"labelled_opart",455000
"109","labels",448,"labelled_opart",479500
"110","labels",448,"fpop",220000
"111","labels",448,"fpop",197000
"112","labels",448,"labelled_opart",315700
"113","labels",448,"opart",515000
"114","labels",448,"opart",496800
"115","labels",448,"labelled_opart",293700
"116","labels",448,"opart",497900
"117","labels",448,"fpop",188100
"118","labels",509,"fpop",259100
"119","labels",509,"fpop",196500
"120","labels",509,"labelled_opart",393600
"121","labels",509,"labelled_opart",323400
"122","labels",509,"labelled_opart",371200
"123","labels",509,"fpop",199700
"124","labels",509,"opart",642800
"125","labels",509,"opart",643600
"126","labels",509,"opart",632300
"127","labels",470,"fpop",265900
"128","labels",470,"opart",577800
"129","labels",470,"fpop",184600
"130","labels",470,"labelled_opart",397300
"131","labels",470,"opart",542800
"132","labels",470,"fpop",176500
"133","labels",470,"labelled_opart",325400
"134","labels",470,"labelled_opart",311400
