,V1,size,expr,time
1,size,5619,fpop,0.0023919
2,size,5619,opart,0.076243
3,size,5619,fpop,0.0024029
4,size,5619,labelled_opart,0.00358785
5,size,5619,fpop,0.0022682
6,size,5619,opart,0.0764351
7,size,5619,labelled_opart,0.00360435
8,size,5619,opart,0.075368
9,size,5619,labelled_opart,0.0034023
10,size,5619,opart,0.0758695
11,size,5619,opart,0.0754867
12,size,5619,labelled_opart,0.0032268
13,size,5619,fpop,0.0021512
14,size,5619,opart,0.0753308
15,size,5619,fpop,0.0021286
16,size,5619,fpop,0.0020302
17,size,5619,labelled_opart,0.0031929
18,size,5619,labelled_opart,0.0030453
19,size,3256,opart,0.0288162
20,size,3256,fpop,0.0012921
21,size,3256,labelled_opart,0.00193815
22,size,3256,opart,0.0285897
23,size,3256,fpop,0.0012838
24,size,3256,labelled_opart,0.0019257
25,size,3256,fpop,0.0014214
26,size,3256,labelled_opart,0.0021321
27,size,3256,opart,0.0287028
28,size,5937,fpop,0.0021915
29,size,5937,labelled_opart,0.00328725
30,size,5937,fpop,0.0021361
31,size,5937,labelled_opart,0.00320415
32,size,5937,opart,0.0830935
33,size,5937,opart,0.079889
34,size,5937,opart,0.0798912
35,size,5937,fpop,0.0021231
36,size,5937,labelled_opart,0.00318465
37,size,474,opart,0.0006377
38,size,474,fpop,0.0002342
39,size,474,labelled_opart,0.0003513
40,size,474,fpop,0.000192
41,size,474,labelled_opart,0.000288
42,size,474,opart,0.0005595
43,size,474,fpop,0.0001908
44,size,474,opart,0.0005575
45,size,474,labelled_opart,0.0002862
46,size,496,opart,0.000693
47,size,496,fpop,0.0002087
48,size,496,labelled_opart,0.00031305
49,size,496,fpop,0.0001748
50,size,496,opart,0.0006609
51,size,496,labelled_opart,0.0002622
52,size,496,fpop,0.000175
53,size,496,labelled_opart,0.0002625
54,size,496,opart,0.0006606
55,size,409,opart,0.0004741
56,size,409,labelled_opart,0.00027615
57,size,409,fpop,0.0001841
58,size,409,labelled_opart,0.0002325
59,size,409,fpop,0.000155
60,size,409,labelled_opart,0.0002331
61,size,409,opart,0.0004234
62,size,409,opart,0.0004157
63,size,409,fpop,0.0001554
64,size,506,opart,0.0007057
65,size,506,labelled_opart,0.00030465
66,size,506,fpop,0.0002031
67,size,506,opart,0.0006633
68,size,506,fpop,0.0001736
69,size,506,fpop,0.0001673
70,size,506,opart,0.0006581
71,size,506,labelled_opart,0.0002604
72,size,506,labelled_opart,0.00025095
73,size,495,labelled_opart,0.00036
74,size,495,opart,0.000616
75,size,495,labelled_opart,0.00030075
76,size,495,opart,0.0006082
77,size,495,fpop,0.00024
78,size,495,fpop,0.0002005
79,size,495,labelled_opart,0.0003033
80,size,495,fpop,0.0002022
81,size,495,opart,0.0006088
82,size,535,labelled_opart,0.0003144
83,size,535,fpop,0.0002096
84,size,535,opart,0.0006996
85,size,535,fpop,0.0001795
86,size,535,opart,0.0006921
87,size,535,opart,0.0006883
88,size,535,fpop,0.0001781
89,size,535,labelled_opart,0.00026925
90,size,535,labelled_opart,0.00026715
91,size,466,fpop,0.0002366
92,size,466,labelled_opart,0.0003549
93,size,466,opart,0.0005669
94,size,466,fpop,0.0001787
95,size,466,fpop,0.0001619
96,size,466,opart,0.0005365
97,size,466,labelled_opart,0.00026805
98,size,466,opart,0.0005793
99,size,466,labelled_opart,0.00024285
100,size,652,opart,0.0010471
101,size,652,labelled_opart,0.00039315
102,size,652,labelled_opart,0.000357
103,size,652,fpop,0.0002621
104,size,652,opart,0.0010144
105,size,652,opart,0.0010047
106,size,652,fpop,0.000238
107,size,652,fpop,0.0002275
108,size,652,labelled_opart,0.00034125
109,size,448,labelled_opart,0.00033
110,size,448,fpop,0.00022
111,size,448,fpop,0.000197
112,size,448,labelled_opart,0.0002955
113,size,448,opart,0.000515
114,size,448,opart,0.0004968
115,size,448,labelled_opart,0.00028215
116,size,448,opart,0.0004979
117,size,448,fpop,0.0001881
118,size,509,fpop,0.0002591
119,size,509,fpop,0.0001965
120,size,509,labelled_opart,0.00038865
121,size,509,labelled_opart,0.00029475
122,size,509,labelled_opart,0.00029955
123,size,509,fpop,0.0001997
124,size,509,opart,0.0006428
125,size,509,opart,0.0006436
126,size,509,opart,0.0006323
127,size,470,fpop,0.0002659
128,size,470,opart,0.0005778
129,size,470,fpop,0.0001846
130,size,470,labelled_opart,0.00039885
131,size,470,opart,0.0005428
132,size,470,fpop,0.0001765
133,size,470,labelled_opart,0.0002769
134,size,470,labelled_opart,0.00026475
135,size,470,opart,0.0005386
136,size,650,opart,0.0010599
137,size,650,fpop,0.0002903
138,size,650,labelled_opart,0.00043545
139,size,650,labelled_opart,0.00038985
140,size,650,opart,0.0010284
141,size,650,fpop,0.0002599
142,size,650,labelled_opart,0.0003903
143,size,650,opart,0.0010269
144,size,650,fpop,0.0002602
145,size,409,opart,0.0004596
146,size,409,opart,0.0004255
147,size,409,labelled_opart,0.00025575
148,size,409,fpop,0.0001705
149,size,409,labelled_opart,0.0002181
150,size,409,opart,0.0004266
151,size,409,fpop,0.0001454
152,size,409,fpop,0.0001459
153,size,409,labelled_opart,0.00021885
154,size,508,labelled_opart,0.00029595
155,size,508,labelled_opart,0.0002544
156,size,508,opart,0.0006332
157,size,508,labelled_opart,0.0002499
158,size,508,opart,0.000628
159,size,508,fpop,0.0001973
160,size,508,opart,0.0006282
161,size,508,fpop,0.0001696
162,size,508,fpop,0.0001666
163,size,451,opart,0.0005532
164,size,451,opart,0.0005075
165,size,451,fpop,0.0002467
166,size,451,fpop,0.0001675
167,size,451,labelled_opart,0.00037005
168,size,451,fpop,0.0001639
169,size,451,labelled_opart,0.00025125
170,size,451,labelled_opart,0.00024585
171,size,451,opart,0.0005026
172,size,535,opart,0.0007273
173,size,535,opart,0.0006917
174,size,535,fpop,0.000223
175,size,535,fpop,0.0002064
176,size,535,opart,0.0006918
177,size,535,labelled_opart,0.0003345
178,size,535,fpop,0.0002281
179,size,535,labelled_opart,0.0003096
180,size,535,labelled_opart,0.00034215
181,size,535,fpop,0.0003123
182,size,535,labelled_opart,0.00046845
183,size,535,fpop,0.0002478
184,size,535,opart,0.0007154
185,size,535,opart,0.0007052
186,size,535,labelled_opart,0.0003717
187,size,535,fpop,0.0002594
188,size,535,labelled_opart,0.0003891
189,size,535,opart,0.0007069
190,size,652,labelled_opart,0.00048255
191,size,652,fpop,0.0003217
192,size,652,labelled_opart,0.00035745
193,size,652,opart,0.0010275
194,size,652,fpop,0.0002383
195,size,652,opart,0.0010142
196,size,652,opart,0.0010046
197,size,652,labelled_opart,0.00034935
198,size,652,fpop,0.0002329
199,size,467,fpop,0.0002467
200,size,467,labelled_opart,0.00037005
201,size,467,fpop,0.0001651
202,size,467,opart,0.0005598
203,size,467,labelled_opart,0.00024765
204,size,467,opart,0.0005534
205,size,467,fpop,0.0001646
206,size,467,labelled_opart,0.0002469
207,size,467,opart,0.0005559
208,size,404,opart,0.0004695
209,size,404,fpop,0.0001756
210,size,404,labelled_opart,0.0002634
211,size,404,fpop,0.0001462
212,size,404,labelled_opart,0.0002193
213,size,404,opart,0.0004183
214,size,404,opart,0.0004117
215,size,404,fpop,0.0001389
216,size,404,labelled_opart,0.00020835
217,size,502,fpop,0.0002922
218,size,502,labelled_opart,0.0004383
219,size,502,labelled_opart,0.0003096
220,size,502,fpop,0.0002064
221,size,502,labelled_opart,0.00034005
222,size,502,opart,0.0006503
223,size,502,opart,0.0006465
224,size,502,opart,0.000653
225,size,502,fpop,0.0002267
226,size,507,labelled_opart,0.0003171
227,size,507,opart,0.0006566
228,size,507,labelled_opart,0.000285
229,size,507,fpop,0.0002114
230,size,507,labelled_opart,0.0002715
231,size,507,opart,0.0006478
232,size,507,opart,0.0006455
233,size,507,fpop,0.00019
234,size,507,fpop,0.000181
235,size,487,fpop,0.0002539
236,size,487,labelled_opart,0.00038085
237,size,487,opart,0.0007095
238,size,487,labelled_opart,0.00028725
239,size,487,fpop,0.0001915
240,size,487,opart,0.0006419
241,size,487,opart,0.0006304
242,size,487,labelled_opart,0.0002775
243,size,487,fpop,0.000185
244,size,455,fpop,0.0002537
245,size,455,fpop,0.0001778
246,size,455,opart,0.00053
247,size,455,opart,0.0005206
248,size,455,labelled_opart,0.00038055
249,size,455,labelled_opart,0.0002667
250,size,455,labelled_opart,0.00027435
251,size,455,fpop,0.0001829
252,size,455,opart,0.0005261
253,size,474,fpop,0.0002465
254,size,474,opart,0.0005784
255,size,474,fpop,0.0001613
256,size,474,opart,0.0005684
257,size,474,fpop,0.0001574
258,size,474,labelled_opart,0.00036975
259,size,474,opart,0.0005688
260,size,474,labelled_opart,0.00024195
261,size,474,labelled_opart,0.0002361
262,size,456,labelled_opart,0.00031995
263,size,456,fpop,0.0002133
264,size,456,labelled_opart,0.0002835
265,size,456,opart,0.0005679
266,size,456,opart,0.000564
267,size,456,labelled_opart,0.0002721
268,size,456,opart,0.0005674
269,size,456,fpop,0.000189
270,size,456,fpop,0.0001814
271,size,476,opart,0.0005974
272,size,476,fpop,0.0002114
273,size,476,fpop,0.0001738
274,size,476,opart,0.0005611
